,num_sulphur,num_polar_non_positive_non_negative,num_polar,num_positive,num_negative,num_hydrophobic,num_aromatic,num_non_aromatic,num_hydroxylic,num_amidic,num_aliphatic,num_essential,weight,hydrophobicity,hydration_energy,num_large_chains,sidechain_volume,polarity,sasa
0,2,5,7,1,1,3,2,11,3,2,1,6,1808.8999999999999,-7.399999999999999,-31.84,6,950.9,106.29999999999998,23.576999999999995
1,0,0,3,1,2,0,0,3,0,0,0,0,468.4,-11.5,-7.830000000000001,1,229.0,35.1,5.656000000000001
2,0,0,2,0,2,0,0,2,0,0,0,0,294.2,-7.0,2.08,0,124.0,24.6,3.724
3,0,1,3,1,1,3,0,6,1,0,3,3,805.9000000000001,3.000000000000001,-5.850000000000001,4,454.8,47.7,10.599
4,2,5,7,1,1,3,2,11,3,2,1,6,1808.8999999999999,-7.399999999999999,-31.84,6,950.9,106.29999999999998,23.576999999999995
5,0,0,3,1,2,0,0,3,0,0,0,0,440.4,-11.5,-8.27,1,185.0,36.5,5.106
6,0,0,4,1,3,0,0,4,0,0,0,0,573.5,-15.0,-7.449999999999999,1,225.0,49.5,6.693
7,0,0,4,1,3,0,0,4,0,0,0,0,587.5,-15.0,-7.23,1,247.0,48.8,6.968
8,0,0,1,0,1,0,0,1,0,0,0,0,133.1,-3.5,0.82,0,40.0,13.0,1.587
9,0,0,0,0,0,0,0,1,0,0,1,0,115.1,-1.6,-1.33,0,41.9,8.0,1.468
10,0,0,1,0,1,0,1,2,0,0,1,1,426.2,-4.8,-0.9700000000000002,1,207.5,26.700000000000003,5.406000000000001
11,0,0,1,0,1,0,1,3,0,0,2,1,501.29999999999995,-5.2,0.5099999999999998,1,207.5,35.7,6.287
12,0,0,0,0,0,1,1,3,0,0,3,2,485.4,2.1,2.4799999999999995,2,239.0,28.299999999999997,6.356
13,0,0,0,0,0,1,0,2,0,0,2,1,206.29999999999998,3.4,4.49,1,93.5,13.9,2.8120000000000003
14,0,1,2,0,1,1,1,5,1,0,3,3,751.5999999999999,-2.1,-0.6600000000000001,2,352.3,49.199999999999996,9.743
15,0,1,1,0,0,1,1,3,1,0,2,3,529.4,1.7999999999999998,-3.18,2,290.3,27.9,7.0
16,0,0,0,0,0,0,0,1,0,0,1,0,75.1,-0.4,1.48,0,0.0,9.0,0.881
17,0,0,0,0,0,1,0,1,0,0,1,1,131.2,4.5,3.07,1,93.5,5.2,1.81
18,0,0,1,1,0,0,0,1,0,0,0,1,146.2,-3.9,-2.8,1,100.0,11.3,2.258
19,0,2,3,1,0,1,0,4,1,1,1,2,528.6999999999999,-3.7,-9.46,3,303.5,36.2,7.298
20,0,0,0,0,0,1,0,1,0,0,1,1,131.2,4.5,3.07,1,93.5,5.2,1.81
21,0,1,1,0,0,0,0,1,0,1,0,0,132.1,-3.5,-4.43,0,58.7,11.6,1.655
